XCoord,YCoord,FID,CB2010,BOROCODE,BORONAME,CT2010,BCTCB2010,SHAPE_LENG,SHAPE_AREA,GEOID
-73.92504045,40.66492257,9304,1001,3,Brooklyn,089200,30892001001,2107.037404,220600.924294,360470892001001
-73.91748658,40.66368149,9305,1001,3,Brooklyn,089400,30894001001,1660.511706,148238.191048,360470894001001
-73.91255576,40.65962696,9306,1001,3,Brooklyn,089600,30896001001,1659.985692,148086.022745,360470896001001
-73.91373579,40.66423774,9307,1001,3,Brooklyn,089800,30898001001,1661.172547,148380.769724,360470898001001
-73.91746114,40.66738612,9308,1001,3,Brooklyn,090000,30900001001,2412.551334,252772.967671,360470900001001
-73.91512252,40.66971245,9309,1001,3,Brooklyn,090200,30902001001,1491.411049,124351.048703,360470902001001
-73.90952293,40.67053298,9310,1001,3,Brooklyn,090600,30906001001,2505.563524,368314.529508,360470906001001
-73.90383044,40.67434195,9311,1001,3,Brooklyn,090800,30908001001,1824.548194,133533.999412,360470908001001
-73.91011939,40.66158428,9312,1001,3,Brooklyn,091600,30916001001,1660.487943,148120.978583,360470916001001
-73.90686811,40.66207443,9313,1001,3,Brooklyn,091800,30918001001,2202.586423,298207.641509,360470918001001
-73.90612456,40.65732316,9314,1001,3,Brooklyn,092000,30920001001,1759.121338,160816.395353,360470920001001
-73.90292914,40.65620838,9315,1001,3,Brooklyn,092200,30922001001,1574.396592,139236.318439,360470922001001
-73.91238411,40.67049612,9316,1001,3,Brooklyn,092400,30924001001,2044.771391,198389.812882,360470924001001
-73.91316715,40.65297504,9317,1001,3,Brooklyn,092800,30928001001,2199.517009,248371.352825,360470928001001
-73.91538901,40.65153888,9318,1001,3,Brooklyn,093000,30930001001,2078.770019,202418.722358,360470930001001
-73.92753743,40.63885784,9319,1001,3,Brooklyn,093200,30932001001,2068.518769,195949.126167,360470932001001
-73.92031604,40.65265425,9320,1001,3,Brooklyn,093400,30934001001,496.412541,5001.441916,360470934001001
-73.92147498,40.65160447,9321,1001,3,Brooklyn,093600,30936001001,1587.337302,79889.402345,360470936001001
-73.92405062,40.65152273,9322,1001,3,Brooklyn,093800,30938001001,2011.896895,198000.047844,360470938001001
-73.92484319,40.63961150,9323,1001,3,Brooklyn,094401,30944011001,2670.144819,357699.962072,360470944011001
-73.92427946,40.64733514,9324,1001,3,Brooklyn,094600,30946001001,1536.845940,58007.923920,360470946001001
-73.91524009,40.63553710,9325,1001,3,Brooklyn,095000,30950001001,1949.678898,185884.657056,360470950001001
-73.91599560,40.64081234,9326,1001,3,Brooklyn,095400,30954001001,2297.654898,233288.403161,360470954001001
-73.91197436,40.63493977,9327,1001,3,Brooklyn,095600,30956001001,2138.748354,221052.720007,360470956001001
-73.91297474,40.64258659,9328,1001,3,Brooklyn,095800,30958001001,2398.845823,245027.544813,360470958001001
-73.90885176,40.64973360,9329,1001,3,Brooklyn,096000,30960001001,1885.415476,211154.644487,360470960001001
-73.91021104,40.64665790,9330,1001,3,Brooklyn,096200,30962001001,2107.310098,252603.012218,360470962001001
-73.90838543,40.64336322,9331,1001,3,Brooklyn,096400,30964001001,1396.059264,109217.001575,360470964001001
-73.90466724,40.63966299,9332,1001,3,Brooklyn,096600,30966001001,2140.326212,220979.478755,360470966001001
-73.90327234,40.64538946,9333,1001,3,Brooklyn,096800,30968001001,1539.173095,139038.295440,360470968001001
-73.90825946,40.64857802,9334,1001,3,Brooklyn,097000,30970001001,1658.216948,163296.443747,360470970001001
-73.89828181,40.64905456,9335,1001,3,Brooklyn,097400,30974001001,1947.273778,189895.963928,360470974001001
-73.89444784,40.64897400,9336,1001,3,Brooklyn,098200,30982001001,2978.687608,554302.489944,360470982001001
-73.89271069,40.64738727,9337,1001,3,Brooklyn,098400,30984001001,2098.185552,204596.512580,360470984001001
-73.89487158,40.64599107,9338,1001,3,Brooklyn,098600,30986001001,2119.196958,213106.789421,360470986001001
-73.89830857,40.64460010,9339,1001,3,Brooklyn,098800,30988001001,1176.167547,85188.965530,360470988001001
-73.89792829,40.63929856,9340,1001,3,Brooklyn,099000,30990001001,1180.551743,86457.970534,360470990001001
